trade_week,操作,ETF名称,ts_code,板块,上周权重(%),本周权重(%),Δ权重(pp),Gate,Regime_csi
2019-03-29,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,100.0,100.0,RISK-OFF,OFF
2019-06-28,🟡 REBAL,黄金ETF,159934.SZ,周期资源,100.0,12.5,-87.5,RISK-ON,ON
2019-06-28,🟢 BUY,医药ETF,512010.SH,医疗,0.0,12.5,12.5,RISK-ON,ON
2019-06-28,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,12.5,12.5,RISK-ON,ON
2019-06-28,🟢 BUY,证券ETF,512880.SH,大金融,0.0,12.5,12.5,RISK-ON,ON
2019-07-05,🔴 SELL,黄金ETF,159934.SZ,周期资源,12.5,0.0,-12.5,RISK-ON,ON
2019-07-05,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,12.5,12.5,RISK-ON,ON
2019-07-12,🟢 BUY,黄金ETF,159934.SZ,周期资源,0.0,12.5,12.5,RISK-ON,ON
2019-07-12,🔴 SELL,房地产ETF,512200.SH,地产链,12.5,0.0,-12.5,RISK-ON,ON
2019-07-19,🟢 BUY,房地产ETF,512200.SH,地产链,0.0,12.5,12.5,RISK-ON,ON
2019-07-19,🔴 SELL,证券ETF,512880.SH,大金融,12.5,0.0,-12.5,RISK-ON,ON
2019-08-02,🟡 REBAL,黄金ETF,159934.SZ,周期资源,12.5,50.0,37.5,RISK-ON,ON
2019-08-02,🔴 SELL,医药ETF,512010.SH,医疗,12.5,0.0,-12.5,RISK-ON,ON
2019-08-02,🔴 SELL,房地产ETF,512200.SH,地产链,12.5,0.0,-12.5,RISK-ON,ON
2019-08-02,🔴 SELL,军工ETF,512660.SH,高端制造,12.5,0.0,-12.5,RISK-ON,ON
2019-08-09,🟡 REBAL,黄金ETF,159934.SZ,周期资源,50.0,62.5,12.5,RISK-ON,OFF
2019-08-09,🟢 BUY,医药ETF,512010.SH,医疗,0.0,12.5,12.5,RISK-ON,OFF
2019-08-09,🟢 BUY,军工ETF,512660.SH,高端制造,0.0,12.5,12.5,RISK-ON,OFF
2019-08-09,🟢 BUY,银行ETF,512800.SH,大金融,0.0,12.5,12.5,RISK-ON,OFF
