trade_week,ETF名称,ts_code,板块,权重(%),Gate,Regime_csi,scale
2019-03-29,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-04-04,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-04-12,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-04-19,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-04-26,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-04-30,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-05-10,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-05-17,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-05-24,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-05-31,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,OFF,1.0
2019-06-06,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,ON,1.0
2019-06-14,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,ON,1.0
2019-06-21,黄金ETF,159934.SZ,周期资源,100.0,RISK-OFF,ON,1.0
2019-06-28,黄金ETF,159934.SZ,周期资源,12.5,RISK-ON,ON,1.0
2019-06-28,医药ETF,512010.SH,医疗,12.5,RISK-ON,ON,1.0
2019-06-28,房地产ETF,512200.SH,地产链,12.5,RISK-ON,ON,1.0
2019-06-28,证券ETF,512880.SH,大金融,12.5,RISK-ON,ON,1.0
2019-07-05,医药ETF,512010.SH,医疗,12.5,RISK-ON,ON,1.0
2019-07-05,房地产ETF,512200.SH,地产链,12.5,RISK-ON,ON,1.0
2019-07-05,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1.0
2019-07-05,证券ETF,512880.SH,大金融,12.5,RISK-ON,ON,1.0
2019-07-12,黄金ETF,159934.SZ,周期资源,12.5,RISK-ON,ON,1.0
2019-07-12,医药ETF,512010.SH,医疗,12.5,RISK-ON,ON,1.0
2019-07-12,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1.0
2019-07-12,证券ETF,512880.SH,大金融,12.5,RISK-ON,ON,1.0
2019-07-19,黄金ETF,159934.SZ,周期资源,12.5,RISK-ON,ON,1.0
2019-07-19,医药ETF,512010.SH,医疗,12.5,RISK-ON,ON,1.0
2019-07-19,房地产ETF,512200.SH,地产链,12.5,RISK-ON,ON,1.0
2019-07-19,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1.0
2019-07-26,黄金ETF,159934.SZ,周期资源,12.5,RISK-ON,ON,1.0
2019-07-26,医药ETF,512010.SH,医疗,12.5,RISK-ON,ON,1.0
