mom_w,lam,top_n_a,vol_target,IS_Sh,IS_ann,Val_Sh,Val_ann,OOS_Sh,OOS_ann,OOS_dd
3,1.0,3,0.12,1.7693513377852532,0.20701910574582816,1.7047004871023006,0.22126440036601758,1.491996845446848,0.21216728983575717,-0.08342335107592225
3,1.0,3,0.15,1.7659147923072729,0.2427456354366655,1.6086655882178933,0.22573799857467036,1.4236278381715592,0.2374712371355141,-0.10339700563072474
3,1.0,3,0.18,1.7167631982388245,0.2652708244079134,1.6168996834835763,0.23192062149853165,1.339051070628168,0.2542202733604293,-0.12302616590734139
3,1.0,4,0.12,1.7900549031106543,0.20944788929529956,1.6952402547270466,0.2194546709941254,1.6009559498815256,0.2269784788476623,-0.07582614003481047
3,1.0,4,0.15,1.7654470767413433,0.2415634947552623,1.5778966090088236,0.21912740456671065,1.5420020743974832,0.2563988755493567,-0.09410740159261022
3,1.0,4,0.18,1.7144142643364317,0.2623272250473112,1.5880101439871093,0.22451311226123716,1.4653313633836187,0.2772752533614984,-0.11212296685993728
3,1.0,5,0.12,1.8436341962846965,0.21388216707053664,1.6048672033322213,0.20688075841956444,1.508584488467288,0.2130496306617251,-0.0756466253034247
3,1.0,5,0.15,1.818345083463644,0.24572512182432282,1.4740153610684452,0.20285526680623533,1.4418822230339872,0.2386385385773273,-0.09442349581981513
3,1.0,5,0.18,1.7656824557009445,0.2661012158566667,1.4792322489775196,0.20689041326157764,1.3585583192355701,0.25568764015111056,-0.11346241375051414
3,1.5,3,0.12,1.7308628112999673,0.20259408297502413,1.7093095356223982,0.22476260598138365,1.4169657357001735,0.2022301348432023,-0.09071709485148916
3,1.5,3,0.15,1.7205484929555623,0.23632358151371657,1.6049560338020237,0.2282169197718371,1.3422687417290626,0.22478241478675232,-0.11237674782184148
3,1.5,3,0.18,1.6680956094384074,0.2562253549756668,1.600045861155326,0.23449051628753126,1.2524475769590837,0.23877645570989747,-0.13363830820080502
3,1.5,4,0.12,1.7971994333178665,0.20916687134447787,1.6772021319618144,0.2168924123440823,1.5132191714279513,0.21354297953770285,-0.08195087854662542
3,1.5,4,0.15,1.775974296540697,0.2418561605049756,1.5530825535943733,0.2150750888881494,1.4470114044110078,0.23927236526523332,-0.10163417178631429
3,1.5,4,0.18,1.7165877323219312,0.2605160054899516,1.5626794788319476,0.22004377161750543,1.3641047875149082,0.25646608419054395,-0.12100185495275095
3,1.5,5,0.12,1.8595954961219747,0.21618196064494932,1.5796379277358696,0.2035360565832438,1.4732782729763563,0.20757637024136866,-0.07977095987864358
3,1.5,5,0.15,1.8331558223835671,0.2480305255387587,1.4570045682943698,0.2006075175577604,1.4037241684192803,0.23168029498221632,-0.0989546968189633
3,1.5,5,0.18,1.7776120896446166,0.26717364928201737,1.4637222513753902,0.20457410174004043,1.317955207040215,0.24725620676168703,-0.11784043842209879
3,2.0,3,0.12,1.8146827840155426,0.21161442970698263,1.6851861313330043,0.2205493178730107,1.4076679981544862,0.20023360067027096,-0.08825549829141288
3,2.0,3,0.15,1.8124012704636918,0.2479062104894021,1.5629668767102618,0.21956431955529498,1.332389265461702,0.22225141218084032,-0.1093636308737086
3,2.0,3,0.18,1.7695162568331524,0.2714362680175193,1.556478427065944,0.22362224607629178,1.241998278879343,0.23571916637003487,-0.13009825066214553
3,2.0,4,0.12,1.8017836097994657,0.20969052754316309,1.6331231067600018,0.21069555317741173,1.5075722257706528,0.21299720321687188,-0.08403889668077846
3,2.0,4,0.15,1.7749592607410964,0.24151071846316285,1.5073867241185526,0.20785640966945684,1.4408007840193542,0.23856969760491764,-0.1041990484757025
3,2.0,4,0.18,1.705833976912875,0.2583501257080518,1.5147940123999801,0.21199023343137546,1.3572513994068944,0.2555289056667678,-0.12402616383335796
3,2.0,5,0.12,1.84677401705825,0.2151910690950134,1.542993802940312,0.19862718347506592,1.4714550934824597,0.20745749011050418,-0.08155010389445005
3,2.0,5,0.15,1.8241341383142988,0.24732750848684537,1.4170575798531537,0.19474015932657962,1.4017122252908196,0.23152310472878868,-0.10114223931545652
