trade_week,ETF名称,ts_code,板块,权重(%),Gate,Regime_accel,scale
2019/3/29,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/4/4,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/4/12,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/4/19,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/4/26,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/4/30,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/5/10,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/5/17,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/5/24,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/5/31,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/6/6,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/6/14,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/6/21,黄金ETF,159934.SZ,周期资源,100,RISK-OFF,OFF,1
2019/6/28,黄金ETF,159934.SZ,周期资源,16.67,RISK-ON,OFF,1
2019/6/28,医药ETF,512010.SH,大消费,16.67,RISK-ON,OFF,1
2019/6/28,证券ETF,512880.SH,大金融,16.67,RISK-ON,OFF,1
2019/7/5,医药ETF,512010.SH,大消费,16.67,RISK-ON,ON,1
2019/7/5,军工ETF,512660.SH,高端制造,16.67,RISK-ON,ON,1
2019/7/5,证券ETF,512880.SH,大金融,16.67,RISK-ON,ON,1
2019/7/12,医药ETF,512010.SH,大消费,16.67,RISK-ON,ON,1
2019/7/12,军工ETF,512660.SH,高端制造,16.67,RISK-ON,ON,1
2019/7/12,证券ETF,512880.SH,大金融,16.67,RISK-ON,ON,1
2019/7/19,黄金ETF,159934.SZ,周期资源,16.67,RISK-ON,ON,1
2019/7/19,房地产ETF,512200.SH,地产链,16.67,RISK-ON,ON,1
2019/7/19,军工ETF,512660.SH,高端制造,16.67,RISK-ON,ON,1
2019/7/26,医药ETF,512010.SH,大消费,16.67,RISK-ON,ON,1
2019/7/26,房地产ETF,512200.SH,地产链,16.67,RISK-ON,ON,1
2019/7/26,军工ETF,512660.SH,高端制造,16.67,RISK-ON,ON,1
2019/8/2,黄金ETF,159934.SZ,周期资源,50,RISK-ON,ON,1
2019/8/9,黄金ETF,159934.SZ,周期资源,62.5,RISK-ON,ON,1
2019/8/9,医药ETF,512010.SH,大消费,12.5,RISK-ON,ON,1
2019/8/9,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1
2019/8/9,银行ETF,512800.SH,大金融,12.5,RISK-ON,ON,1
2019/8/16,医药ETF,512010.SH,大消费,37.5,RISK-ON,ON,1
2019/8/16,黄金ETF,159934.SZ,周期资源,25,RISK-ON,ON,1
2019/8/16,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1
2019/8/16,酒ETF,512690.SH,大消费,12.5,RISK-ON,ON,1
2019/8/16,银行ETF,512800.SH,大金融,12.5,RISK-ON,ON,1
2019/8/23,黄金ETF,159934.SZ,周期资源,37.5,RISK-ON,ON,1
2019/8/23,医药ETF,512010.SH,大消费,37.5,RISK-ON,ON,1
2019/8/23,军工ETF,512660.SH,高端制造,12.5,RISK-ON,ON,1
2019/8/23,酒ETF,512690.SH,大消费,12.5,RISK-ON,ON,1
2019/8/30,酒ETF,512690.SH,大消费,29.17,RISK-ON,OFF,1
2019/8/30,军工ETF,512660.SH,高端制造,29.17,RISK-ON,OFF,1
2019/8/30,黄金ETF,159934.SZ,周期资源,16.67,RISK-ON,OFF,1
2019/8/30,房地产ETF,512200.SH,地产链,12.5,RISK-ON,OFF,1
2019/8/30,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/6,半导体ETF,512480.SH,科技成长,29.17,RISK-ON,OFF,1
2019/9/6,军工ETF,512660.SH,高端制造,29.17,RISK-ON,OFF,1
2019/9/6,酒ETF,512690.SH,大消费,29.17,RISK-ON,OFF,1
2019/9/6,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/12,房地产ETF,512200.SH,地产链,29.17,RISK-ON,OFF,1
2019/9/12,半导体ETF,512480.SH,科技成长,29.17,RISK-ON,OFF,1
2019/9/12,军工ETF,512660.SH,高端制造,29.17,RISK-ON,OFF,1
2019/9/12,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/20,房地产ETF,512200.SH,地产链,29.17,RISK-ON,OFF,1
2019/9/20,半导体ETF,512480.SH,科技成长,29.17,RISK-ON,OFF,1
2019/9/20,军工ETF,512660.SH,高端制造,16.67,RISK-ON,OFF,1
2019/9/20,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/20,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/27,房地产ETF,512200.SH,地产链,29.17,RISK-ON,OFF,1
2019/9/27,半导体ETF,512480.SH,科技成长,29.17,RISK-ON,OFF,1
2019/9/27,证券ETF,512880.SH,大金融,16.67,RISK-ON,OFF,1
2019/9/27,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/27,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/9/30,房地产ETF,512200.SH,地产链,12.5,RISK-ON,OFF,1
2019/9/30,半导体ETF,512480.SH,科技成长,12.5,RISK-ON,OFF,1
2019/9/30,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/9/30,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/10/11,酒ETF,512690.SH,大消费,37.5,RISK-ON,OFF,1
2019/10/11,黄金ETF,159934.SZ,周期资源,25,RISK-ON,OFF,1
2019/10/11,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/10/11,房地产ETF,512200.SH,地产链,12.5,RISK-ON,OFF,1
2019/10/11,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/10/18,医药ETF,512010.SH,大消费,12.5,RISK-ON,OFF,1
2019/10/18,房地产ETF,512200.SH,地产链,12.5,RISK-ON,OFF,1
2019/10/18,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/10/18,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/10/25,医药ETF,512010.SH,大消费,29.17,RISK-ON,OFF,1
2019/10/25,房地产ETF,512200.SH,地产链,29.17,RISK-ON,OFF,1
2019/10/25,银行ETF,512800.SH,大金融,29.17,RISK-ON,OFF,1
2019/10/25,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/11/1,医药ETF,512010.SH,大消费,29.17,RISK-ON,OFF,1
2019/11/1,房地产ETF,512200.SH,地产链,29.17,RISK-ON,OFF,1
2019/11/1,银行ETF,512800.SH,大金融,29.17,RISK-ON,OFF,1
2019/11/1,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/11/8,医药ETF,512010.SH,大消费,37.5,RISK-ON,OFF,1
2019/11/8,半导体ETF,512480.SH,科技成长,37.5,RISK-ON,OFF,1
2019/11/8,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/11/8,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/11/15,医药ETF,512010.SH,大消费,37.5,RISK-ON,OFF,1
2019/11/15,半导体ETF,512480.SH,科技成长,37.5,RISK-ON,OFF,1
2019/11/15,酒ETF,512690.SH,大消费,12.5,RISK-ON,OFF,1
2019/11/15,银行ETF,512800.SH,大金融,12.5,RISK-ON,OFF,1
2019/11/22,半导体ETF,512480.SH,科技成长,36.77,RISK-ON,OFF,0.9806
2019/11/22,酒ETF,512690.SH,大消费,36.77,RISK-ON,OFF,0.9806
2019/11/22,医药ETF,512010.SH,大消费,12.26,RISK-ON,OFF,0.9806
2019/11/22,军工ETF,512660.SH,高端制造,12.26,RISK-ON,OFF,0.9806
2019/11/29,半导体ETF,512480.SH,科技成长,60.72,RISK-ON,OFF,0.9716
2019/11/29,军工ETF,512660.SH,高端制造,12.14,RISK-ON,OFF,0.9716
2019/11/29,酒ETF,512690.SH,大消费,12.14,RISK-ON,OFF,0.9716
2019/11/29,通信ETF,515880.SH,科技成长,12.14,RISK-ON,OFF,0.9716
2019/12/6,半导体ETF,512480.SH,科技成长,23.34,RISK-ON,OFF,0.8001
2019/12/6,军工ETF,512660.SH,高端制造,23.34,RISK-ON,OFF,0.8001
2019/12/6,黄金ETF,159934.SZ,周期资源,13.34,RISK-ON,OFF,0.8001
2019/12/6,房地产ETF,512200.SH,地产链,10,RISK-ON,OFF,0.8001
2019/12/6,酒ETF,512690.SH,大消费,10,RISK-ON,OFF,0.8001
2019/12/13,房地产ETF,512200.SH,地产链,23.26,RISK-ON,OFF,0.7976
2019/12/13,半导体ETF,512480.SH,科技成长,23.26,RISK-ON,OFF,0.7976
2019/12/13,军工ETF,512660.SH,高端制造,23.26,RISK-ON,OFF,0.7976
2019/12/13,通信ETF,515880.SH,科技成长,9.97,RISK-ON,OFF,0.7976
2019/12/20,房地产ETF,512200.SH,地产链,23.5,RISK-ON,OFF,0.8057
2019/12/20,半导体ETF,512480.SH,科技成长,23.5,RISK-ON,OFF,0.8057
2019/12/20,证券ETF,512880.SH,大金融,13.43,RISK-ON,OFF,0.8057
2019/12/20,军工ETF,512660.SH,高端制造,10.07,RISK-ON,OFF,0.8057
2019/12/20,通信ETF,515880.SH,科技成长,10.07,RISK-ON,OFF,0.8057
2019/12/27,房地产ETF,512200.SH,地产链,23.39,RISK-ON,OFF,0.8019
2019/12/27,半导体ETF,512480.SH,科技成长,23.39,RISK-ON,OFF,0.8019
2019/12/27,证券ETF,512880.SH,大金融,13.36,RISK-ON,OFF,0.8019
2019/12/27,银行ETF,512800.SH,大金融,10.02,RISK-ON,OFF,0.8019
2019/12/27,通信ETF,515880.SH,科技成长,10.02,RISK-ON,OFF,0.8019
2020/1/3,房地产ETF,512200.SH,地产链,22.42,RISK-ON,OFF,0.7686
2020/1/3,半导体ETF,512480.SH,科技成长,22.42,RISK-ON,OFF,0.7686
2020/1/3,证券ETF,512880.SH,大金融,12.81,RISK-ON,OFF,0.7686
2020/1/3,银行ETF,512800.SH,大金融,9.61,RISK-ON,OFF,0.7686
2020/1/3,通信ETF,515880.SH,科技成长,9.61,RISK-ON,OFF,0.7686
2020/1/10,半导体ETF,512480.SH,科技成长,22.74,RISK-ON,OFF,0.7796
2020/1/10,军工ETF,512660.SH,高端制造,22.74,RISK-ON,OFF,0.7796
2020/1/10,证券ETF,512880.SH,大金融,12.99,RISK-ON,OFF,0.7796
2020/1/10,酒ETF,512690.SH,大消费,9.75,RISK-ON,OFF,0.7796
2020/1/10,通信ETF,515880.SH,科技成长,9.75,RISK-ON,OFF,0.7796
2020/1/17,半导体ETF,512480.SH,科技成长,22.63,RISK-ON,OFF,0.776
2020/1/17,酒ETF,512690.SH,大消费,22.63,RISK-ON,OFF,0.776
2020/1/17,军工ETF,512660.SH,高端制造,12.93,RISK-ON,OFF,0.776
2020/1/17,医药ETF,512010.SH,大消费,9.7,RISK-ON,OFF,0.776
2020/1/17,通信ETF,515880.SH,科技成长,9.7,RISK-ON,OFF,0.776
2020/1/23,医药ETF,512010.SH,大消费,22.69,RISK-ON,OFF,0.7781
2020/1/23,半导体ETF,512480.SH,科技成长,22.69,RISK-ON,OFF,0.7781
2020/1/23,军工ETF,512660.SH,高端制造,22.69,RISK-ON,OFF,0.7781
2020/1/23,通信ETF,515880.SH,科技成长,9.73,RISK-ON,OFF,0.7781
2020/2/7,半导体ETF,512480.SH,科技成长,23.41,RISK-ON,OFF,0.8025
2020/2/7,军工ETF,512660.SH,高端制造,23.41,RISK-ON,OFF,0.8025
2020/2/7,黄金ETF,159934.SZ,周期资源,13.37,RISK-ON,OFF,0.8025
2020/2/7,医药ETF,512010.SH,大消费,10.03,RISK-ON,OFF,0.8025
2020/2/7,通信ETF,515880.SH,科技成长,10.03,RISK-ON,OFF,0.8025
2020/2/14,半导体ETF,512480.SH,科技成长,23.75,RISK-ON,OFF,0.8144
2020/2/14,军工ETF,512660.SH,高端制造,23.75,RISK-ON,OFF,0.8144
2020/2/14,黄金ETF,159934.SZ,周期资源,13.57,RISK-ON,OFF,0.8144
2020/2/14,医药ETF,512010.SH,大消费,10.18,RISK-ON,OFF,0.8144
2020/2/14,通信ETF,515880.SH,科技成长,10.18,RISK-ON,OFF,0.8144
2020/2/21,半导体ETF,512480.SH,科技成长,17.41,RISK-ON,OFF,0.597
2020/2/21,军工ETF,512660.SH,高端制造,17.41,RISK-ON,OFF,0.597
2020/2/21,黄金ETF,159934.SZ,周期资源,9.95,RISK-ON,OFF,0.597
2020/2/21,医药ETF,512010.SH,大消费,7.46,RISK-ON,OFF,0.597
2020/2/21,通信ETF,515880.SH,科技成长,7.46,RISK-ON,OFF,0.597
2020/2/28,黄金ETF,159934.SZ,周期资源,15.41,RISK-ON,OFF,0.5283
2020/2/28,半导体ETF,512480.SH,科技成长,15.41,RISK-ON,OFF,0.5283
2020/2/28,军工ETF,512660.SH,高端制造,15.41,RISK-ON,OFF,0.5283
2020/2/28,通信ETF,515880.SH,科技成长,6.6,RISK-ON,OFF,0.5283
2020/3/6,房地产ETF,512200.SH,地产链,15.46,RISK-ON,OFF,0.5302
2020/3/6,军工ETF,512660.SH,高端制造,15.46,RISK-ON,OFF,0.5302
2020/3/6,通信ETF,515880.SH,科技成长,15.46,RISK-ON,OFF,0.5302
2020/3/6,酒ETF,512690.SH,大消费,6.63,RISK-ON,OFF,0.5302
2020/3/13,军工ETF,512660.SH,高端制造,15.2,RISK-ON,OFF,0.5211
2020/3/13,通信ETF,515880.SH,科技成长,15.2,RISK-ON,OFF,0.5211
2020/3/13,证券ETF,512880.SH,大金融,8.68,RISK-ON,OFF,0.5211
2020/3/13,房地产ETF,512200.SH,地产链,6.51,RISK-ON,OFF,0.5211
2020/3/13,酒ETF,512690.SH,大消费,6.51,RISK-ON,OFF,0.5211
2020/3/20,黄金ETF,159934.SZ,周期资源,47.09,RISK-OFF,OFF,0.4709
2020/3/27,黄金ETF,159934.SZ,周期资源,43.63,RISK-OFF,OFF,0.4363
2020/4/3,黄金ETF,159934.SZ,周期资源,44.83,RISK-OFF,OFF,0.4483
2020/4/10,黄金ETF,159934.SZ,周期资源,44.98,RISK-OFF,OFF,0.4498
2020/4/17,医药ETF,512010.SH,大消费,13.09,RISK-ON,OFF,0.4489
2020/4/17,房地产ETF,512200.SH,地产链,13.09,RISK-ON,OFF,0.4489
2020/4/17,黄金ETF,159934.SZ,周期资源,7.48,RISK-ON,OFF,0.4489
2020/4/17,有色ETF,159980.SZ,周期资源,5.61,RISK-ON,OFF,0.4489
2020/4/17,酒ETF,512690.SH,大消费,5.61,RISK-ON,OFF,0.4489
2020/4/24,有色ETF,159980.SZ,周期资源,13.16,RISK-ON,OFF,0.4511
2020/4/24,军工ETF,512660.SH,高端制造,13.16,RISK-ON,OFF,0.4511
2020/4/24,酒ETF,512690.SH,大消费,13.16,RISK-ON,OFF,0.4511
2020/4/24,医药ETF,512010.SH,大消费,5.64,RISK-ON,OFF,0.4511
2020/4/30,有色ETF,159980.SZ,周期资源,13.17,RISK-ON,ON,0.4514
2020/4/30,军工ETF,512660.SH,高端制造,13.17,RISK-ON,ON,0.4514
2020/4/30,酒ETF,512690.SH,大消费,13.17,RISK-ON,ON,0.4514
2020/4/30,医药ETF,512010.SH,大消费,5.64,RISK-ON,ON,0.4514
2020/5/8,半导体ETF,512480.SH,科技成长,13.13,RISK-ON,ON,0.4502
2020/5/8,军工ETF,512660.SH,高端制造,13.13,RISK-ON,ON,0.4502
2020/5/8,酒ETF,512690.SH,大消费,13.13,RISK-ON,ON,0.4502
2020/5/8,AI_ETF,515980.SH,科技成长,5.63,RISK-ON,ON,0.4502
2020/5/15,半导体ETF,512480.SH,科技成长,13.11,RISK-ON,ON,0.4496
2020/5/15,军工ETF,512660.SH,高端制造,13.11,RISK-ON,ON,0.4496
2020/5/15,酒ETF,512690.SH,大消费,13.11,RISK-ON,ON,0.4496
2020/5/15,AI_ETF,515980.SH,科技成长,5.62,RISK-ON,ON,0.4496
2020/5/22,有色ETF,159980.SZ,周期资源,12.72,RISK-ON,ON,0.436
2020/5/22,半导体ETF,512480.SH,科技成长,12.72,RISK-ON,ON,0.436
2020/5/22,酒ETF,512690.SH,大消费,12.72,RISK-ON,ON,0.436
2020/5/22,医药ETF,512010.SH,大消费,5.45,RISK-ON,ON,0.436
2020/5/29,酒ETF,512690.SH,大消费,12.89,RISK-ON,ON,0.4418
2020/5/29,黄金ETF,159934.SZ,周期资源,7.36,RISK-ON,ON,0.4418
2020/5/29,新能源车ETF,515030.SH,新能源,7.36,RISK-ON,ON,0.4418
2020/5/29,有色ETF,159980.SZ,周期资源,5.52,RISK-ON,ON,0.4418
2020/5/29,医药ETF,512010.SH,大消费,5.52,RISK-ON,ON,0.4418
2020/5/29,钢铁ETF,515210.SH,周期资源,5.52,RISK-ON,ON,0.4418
2020/6/5,有色ETF,159980.SZ,周期资源,12.9,RISK-ON,ON,0.4423
2020/6/5,酒ETF,512690.SH,大消费,12.9,RISK-ON,ON,0.4423
2020/6/5,新能源车ETF,515030.SH,新能源,7.37,RISK-ON,ON,0.4423
2020/6/5,医药ETF,512010.SH,大消费,5.53,RISK-ON,ON,0.4423
2020/6/5,煤炭ETF,515220.SH,周期资源,5.53,RISK-ON,ON,0.4423
2020/6/12,有色ETF,159980.SZ,周期资源,13.54,RISK-ON,ON,0.4641
